Country Name,GDP (current US$),GDP growth (annual %),GDP per capita (current US$),"Government expenditure on education, total (% of GDP)","Inflation, consumer prices (annual %)","Population, total",Research and development expenditure (% of GDP),"Unemployment, total (% of total labor force) (national estimate)",Urban population (% of total population)
Africa Eastern and Southern,1.23616E+12,2.622310407,1672.505957,..,7.126974821,739108306,..,..,38.33533732
Africa Western and Central,7.96586E+11,3.342775594,1584.333285,..,4.670083708,502789511,..,..,49.6354097
Albania,22977677861,3.439149499,8367.775731,..,..,2745972,..,..,64.603
Algeria,2.39899E+11,4.1,5260.20625,5.610157013,9.322173759,45606480,..,..,75.268
American Samoa,..,..,..,..,..,43914,..,..,87.235
Arab World,3.49152E+12,0.92979198,7377.398936,..,3.64216403,473272080,..,..,59.8277579
Argentina,6.40591E+11,-1.550501536,13730.51471,..,..,46654581,..,6.139,92.463
Armenia,24212134631,8.7,8715.765336,0.242599994,1.980418776,2777970,..,..,63.739
Australia,1.72383E+12,3.016988104,64711.7656,..,5.597014925,26638544,..,3.668,86.617
Austria,5.16034E+11,-0.828815089,56505.96828,..,7.81413417,9132383,..,5.264,59.53
Azerbaijan,72356176471,1.123974327,7155.083604,3.582900286,8.785430498,10112555,..,..,57.577
Bangladesh,4.37415E+11,5.77511237,2529.080127,1.775227427,9.883503038,172954319,..,..,40.473
Belarus,71857382746,3.886242145,7829.053137,4.951479912,5.000599031,9178298,..,3.461,80.731
Belgium,6.32217E+11,1.365055231,53475.2935,..,4.049010776,11822592,..,5.528,98.189
Botswana,19395765126,2.730919046,7249.799326,..,5.067615493,2675352,..,23.381,72.867
Brazil,2.17367E+12,2.908480487,10043.62392,..,4.593562823,216422446,..,7.947,87.788
Brunei Darussalam,15128292954,1.407068229,33430.91848,..,0.357064312,452524,..,5.296,79.149
Bulgaria,1.01584E+11,1.84638956,15797.59558,..,9.442841401,6430370,..,4.319,76.701
Cambodia,31772759999,5.4,1875.071482,2.951152325,2.127467966,16944826,..,..,25.57
Canada,2.14009E+12,1.065994453,53371.69743,..,3.879001598,40097761,..,5.415,81.862
Caribbean small states,53252637670,12.71585628,16810.93502,..,3.813860264,3167738,..,..,46.97723116
Central African Republic,2555492085,0.870251451,445.028196,..,2.979138526,5742315,..,..,43.614
Chile,3.35533E+11,0.218780667,17093.24197,..,7.581682514,19629590,..,9.013,88.012
China,1.77948E+13,5.2,12614.06099,..,0.234836829,1410710000,..,..,64.57
Colombia,3.6354E+11,0.612181322,6979.725135,..,11.73590449,52085168,..,9.603,82.354
Costa Rica,86497941439,5.111921832,16595.37038,..,0.525193509,5212173,..,8.325,82.622
Croatia,82688842717,3.060871288,21459.78478,..,7.941281776,3853200,..,6.086,58.575
Cuba,..,..,..,..,..,11194449,..,..,77.523
Cyprus,32229622669,2.466934965,34701.44141,..,3.541341888,1260138,..,6.098,66.987
Czechia,3.30858E+11,-0.311479452,30427.42347,..,10.66126014,10873689,..,2.58,74.552
Denmark,4.04199E+11,1.889610386,67967.38187,..,3.305178112,5946952,..,5.094,88.495
Dominican Republic,1.21444E+11,2.360615687,10716.01336,..,4.78561281,11332972,..,5.555,84.446
Ecuador,1.18845E+11,2.355217907,6533.351504,3.893650055,2.215687642,18190484,..,3.51,64.792
"Egypt, Arab Rep.",3.95926E+11,3.759005419,3512.580065,..,33.88477631,112716598,..,..,43.1
Estonia,40744848828,-3.005590126,29823.74961,..,9.15922508,1366188,..,6.378,69.81
Ethiopia,1.63698E+11,6.498134642,1293.778008,..,30.21882781,126527060,..,..,23.157
Fiji,5494797541,8.026408625,5868.159168,4.246798038,..,936375,..,..,58.713
Finland,3.00187E+11,-1.035375693,53755.91174,..,6.250643222,5584264,..,7.151,85.773
France,3.0309E+12,0.703718547,44460.81785,..,4.878357265,68170228,..,7.335,81.777
Georgia,30535530479,7.474479094,8120.363443,3.738610029,2.487760566,3760365,..,..,60.727
Germany,4.45608E+12,-0.304934576,52745.75571,..,5.946436677,84482267,..,3.068,77.765
Ghana,76370394412,2.944785831,2238.158021,..,38.10696563,34121985,..,..,59.238
Greece,2.38206E+11,2.011520943,22990.01357,..,3.464801285,10361295,..,11.023,80.673
"Hong Kong SAR, China",3.82055E+11,3.21505497,50696.59032,3.803100109,2.096605112,7536100,..,2.949,100
Hungary,2.12389E+11,-0.907685956,22147.20973,..,17.12496597,9589872,..,4.107,72.864
Iceland,31020032583,4.06379899,78811.05839,..,8.736302999,393600,..,3.518,94.042
India,3.54992E+12,7.583971124,2484.845429,..,5.649143189,1428627663,..,4.172,36.364
Indonesia,1.37117E+12,5.048105771,4940.549805,1.275170922,3.670131424,277534122,..,3.308,58.572
"Iran, Islamic Rep.",4.01505E+11,4.952163169,4502.546329,2.928923845,44.57918576,89172767,..,..,77.257
Iraq,2.50843E+11,-2.93555774,5512.47572,..,..,45504560,..,..,71.599
Ireland,5.45629E+11,-3.19878596,103684.8808,..,6.299424874,5262382,..,4.288,64.466
Israel,5.09901E+11,1.997039988,52261.67615,..,4.225352113,9756700,..,3.371,92.854
Italy,2.25485E+12,0.920692214,38373.16605,..,5.622194422,58761146,..,7.627,71.973
Jamaica,19423355367,2.200061472,6874.200284,5.654536724,6.474137347,2825544,..,3.022,57.378
Japan,4.21295E+12,1.923055531,33834.39211,..,3.268133659,124516650,..,2.6,92.043
Jordan,50813642349,2.61548743,4482.086026,..,2.084869863,11337052,..,..,92.02
Kazakhstan,2.61421E+11,5.1,13136.62291,..,14.72499002,19900177,..,..,58.179
Kenya,1.07441E+11,5.425816151,1949.898969,3.962293148,7.67139634,55100586,..,..,29.52
"Korea, Dem. People's Rep.",..,..,..,..,..,26160821,..,..,63.203
"Korea, Rep.",1.71279E+12,1.356733243,33121.37129,..,3.59745625,51712619,..,2.675,81.456
Kosovo,10438351483,3.337894699,5943.125714,..,4.944227096,1756374,..,..,..
Kuwait,1.61772E+11,-2.230093463,37533.21772,5.026260853,3.64216403,4310108,..,..,100
Kyrgyz Republic,13987627909,6.151391837,1969.866481,6.826946735,10.75327704,7100800,..,..,37.801
Latin America & Caribbean,7.09433E+12,2.153083954,10681.73309,..,4.629302424,664155299,..,6.186163724,81.86847314
Latin America & Caribbean (excluding high income),6.05058E+12,2.151256544,10070.44338,..,4.612792838,600825676,..,6.059161228,81.48439465
Latin America & the Caribbean (IDA & IBRD countries),6.77278E+12,2.180328956,10439.52607,..,4.630662639,648763330,..,6.184121589,81.8840054
Latvia,43627078481,-0.282539558,23184.31167,..,8.938046233,1881750,..,6.465,68.671
Lebanon,..,..,..,..,221.341644,5353930,..,..,89.432
Libya,50491722446,-1.672589946,7329.976541,..,2.373175314,6888388,..,..,81.606
Lithuania,77836396963,-0.336086244,27102.78153,..,9.117319624,2871897,..,6.841,68.694
Luxembourg,85755006124,-1.095723616,128259.4026,..,3.74140362,668606,..,5.184,92.078
"Macao SAR, China",47061843716,80.534216,66835.06433,..,..,704149,..,..,100
Malawi,14084341062,1.539641712,672.8697022,..,28.78974282,20931751,..,..,18.28
Malaysia,3.99649E+11,3.680282186,11648.67416,3.627254963,2.488865601,34308525,..,..,78.716
Malta,20956999452,5.613927783,37882.26519,..,5.09396759,553214,..,3.11,94.941
Mauritius,14397127281,6.952287986,11416.85899,4.567639828,7.052982385,1261041,..,5.571,40.867
Mexico,1.78889E+12,3.228736756,13926.11362,..,5.527960873,128455567,..,2.765,81.582
Middle East & North Africa,4.28768E+12,1.780039753,8561.886485,..,4.225352113,500787313,..,..,66.37234179
Middle East & North Africa (IDA & IBRD countries),1.62917E+12,2.802812772,3827.11624,..,9.322173759,425691336,..,..,62.62799103
Middle East & North Africa (excluding high income),1.64655E+12,2.727094357,3821.578957,..,7.706657642,430857111,..,..,62.8072826
Moldova,16539436547,0.78324271,6650.647957,6.252686024,13.41701044,2486891,..,1.555,43.373
Mongolia,19872180370,7.022991875,5764.802813,3.741015434,10.34758313,3447157,..,5.178,69.089
Montenegro,7404541965,5.981903216,12016.90742,..,8.584769105,616177,..,..,68.502
Morocco,1.41109E+11,3.177946835,3672.112305,6.020969391,6.091141525,37840044,..,..,65.121
Mozambique,20624597847,5.000024173,608.4427076,..,7.126974821,33897354,..,..,38.753
Namibia,12351024844,4.159985738,4742.783827,9.044512749,5.879934633,2604172,..,..,54.886
Nepal,40908073367,1.952544633,1324.031984,3.681257963,7.114759517,30896590,..,..,21.903
Netherlands,1.11812E+12,0.116008635,62536.73203,..,3.838393543,17879488,..,3.537,93.179
New Caledonia,..,..,..,..,..,267940,..,..,72.719
New Zealand,2.53466E+11,0.632242362,48527.82892,..,5.73316283,5223100,..,3.729,86.985
Nigeria,3.62815E+11,2.860214991,1621.123515,..,24.6595502,223804632,..,..,54.283
North America,2.95093E+13,2.429616697,78675.48093,..,3.997669991,375076145,..,3.841936669,83.14731062
Northern Mariana Islands,..,..,..,..,..,49796,..,..,92.076
Norway,4.85513E+11,0.514118227,87961.78061,..,5.517849871,5519594,..,3.573,83.995
Oman,1.08192E+11,1.3,23295.32996,..,0.942793225,4644384,..,..,88.4
Other small states,2.34402E+11,2.479947458,16459.96619,..,4.229344199,14240737,..,..,59.48061827
Pacific island small states,11232231820,5.75845168,4194.687369,..,..,2677728,..,..,39.82153546
Pakistan,3.38368E+11,-0.004855269,1407.021351,1.868643403,30.76812807,240485658,..,..,38.04
Papua New Guinea,30932496250,2.681010484,2994.453327,..,2.298699913,10329931,..,..,13.723
Paraguay,42956263544,4.714124079,6260.455191,3.406490088,4.632022854,6861524,..,5.794,63.149
Peru,2.67603E+11,-0.550182306,7789.870975,4.235169888,6.455613484,34352719,..,4.899,78.922
Philippines,4.37146E+11,5.545851171,3725.551205,3.623686314,5.978025155,117337368,..,..,48.287
Poland,8.11229E+11,0.160586011,22112.86157,..,11.5289128,36685849,..,2.743,60.218
Portugal,2.8708E+11,2.261254781,27275.11155,..,4.311281919,10525347,..,6.509,67.906
Puerto Rico,1.17902E+11,0.563519427,36779.05949,..,..,3205691,..,..,93.634
Qatar,..,..,..,..,3.027648992,2716391,..,..,99.354
Romania,3.51003E+11,2.148476996,18419.41871,..,10.39718748,19056116,..,5.592,54.672
Russian Federation,2.02142E+12,3.6,13817.0459,..,..,143826130,..,3.076,75.331
Saudi Arabia,1.06758E+12,-0.754914811,28894.96335,5.1146698,2.327085184,36947025,..,4.008,84.95
Serbia,75187125427,2.527793336,11360.95951,..,12.37190436,6618026,..,8.268,57.113
Singapore,5.01428E+11,1.075031751,84734.25592,2.18787837,4.821467295,5917648,..,3.444,100
Slovak Republic,1.32794E+11,1.596454971,24470.23854,..,10.53194766,5426740,..,5.841,54.027
Slovenia,68216781411,1.586899383,32163.51142,..,7.446877174,2120937,..,3.652,56.088
Small states,2.98978E+11,4.530624568,14884.75691,..,4.389840175,20086203,..,..,54.88795678
Somalia,11679800110,3.102961996,643.7500288,..,..,18143378,..,..,47.92
South Africa,3.77782E+11,0.601662303,6253.161613,6.148389816,6.073908532,60414495,..,32.098,68.819
South Asia,4.47557E+12,6.35285494,2308.719777,1.84819454,7.114759517,1938549529,..,4.171243814,36.31229778
South Asia (IDA & IBRD),4.47557E+12,6.35285494,2308.719777,1.84819454,7.114759517,1938549529,..,4.171243814,36.31229778
South Sudan,..,..,..,..,2.382804348,11088796,..,..,21.195
Spain,1.58069E+12,2.50329436,32676.98371,..,3.532361335,48373336,..,12.179,81.552
Sri Lanka,84356860421,-2.298045112,3827.964806,1.827745676,16.54117423,22037000,..,..,19.211
Sub-Saharan Africa,2.03275E+12,2.955095532,1636.808741,..,7.052982385,1241897817,..,..,42.91023696
Sub-Saharan Africa (IDA & IBRD countries),2.03275E+12,2.955095532,1636.808741,..,7.052982385,1241897817,..,..,42.91023696
Sub-Saharan Africa (excluding high income),2.03061E+12,2.954888115,1635.242113,..,7.089978603,1241778044,..,..,42.90870241
Sudan,1.09327E+11,-12.0467792,2272.485596,..,..,48109006,..,..,36.342
Sweden,5.93268E+11,-0.196170995,56305.2502,..,8.548624897,10536632,..,7.611,88.738
Switzerland,8.8494E+11,0.716066869,99994.93802,..,2.13540088,8849852,..,4.043,74.202
Syrian Arab Republic,..,..,..,..,..,23227014,..,..,57.409
Tanzania,79158286334,5.188056392,1211.058594,3.260152817,3.799232914,67438106,..,..,37.409
Thailand,5.14945E+11,1.882817461,7171.808093,2.521222115,1.228026235,71801279,..,0.733,53.608
