Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,22977677861
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.439149499
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,8367.775731
Albania,ALB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Albania,ALB,"Population, total",SP.POP.TOTL,2745972
Albania,ALB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,64.603
Albania,ALB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Albania,ALB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..
Albania,ALB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,2.39899E+11
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.1
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,5260.20625
Algeria,DZA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Algeria,DZA,"Population, total",SP.POP.TOTL,45606480
Algeria,DZA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,75.268
Algeria,DZA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.610157013
Algeria,DZA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,9.322173759
Algeria,DZA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,6.40591E+11
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1.550501536
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,13730.51471
Argentina,ARG,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Argentina,ARG,"Population, total",SP.POP.TOTL,46654581
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,92.463
Argentina,ARG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Argentina,ARG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..
Argentina,ARG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,6.139
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,4.37415E+11
Bangladesh,BGD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.77511237
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,2529.080127
Bangladesh,BGD,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Bangladesh,BGD,"Population, total",SP.POP.TOTL,172954319
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,40.473
Bangladesh,BGD,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,1.775227427
Bangladesh,BGD,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,9.883503038
Bangladesh,BGD,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,5.16034E+11
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.828815089
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,56505.96828
Austria,AUT,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Austria,AUT,"Population, total",SP.POP.TOTL,9132383
Austria,AUT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,59.53
Austria,AUT,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Austria,AUT,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.81413417
Austria,AUT,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.264
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,24212134631
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.7
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,8715.765336
Armenia,ARM,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Armenia,ARM,"Population, total",SP.POP.TOTL,2777970
Armenia,ARM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,63.739
Armenia,ARM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,0.242599994
Armenia,ARM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.980418776
Armenia,ARM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1.72383E+12
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.016988104
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,64711.7656
Australia,AUS,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Australia,AUS,"Population, total",SP.POP.TOTL,26638544
