Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,22977677860.7979
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.43914949919611
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,8367.77573143421
Albania,ALB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Albania,ALB,"Population, total",SP.POP.TOTL,2745972
Albania,ALB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,64.603
Albania,ALB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Albania,ALB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..
Albania,ALB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,239899491127.742
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.10000000000679
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,5260.20624980797
Algeria,DZA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Algeria,DZA,"Population, total",SP.POP.TOTL,45606480
Algeria,DZA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,75.268
Algeria,DZA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.61015701293945
Algeria,DZA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,9.32217375928322
Algeria,DZA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,640591410663.883
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1.55050153620256
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,13730.5147090247
Argentina,ARG,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Argentina,ARG,"Population, total",SP.POP.TOTL,46654581
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,92.463
Argentina,ARG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Argentina,ARG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..
Argentina,ARG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,6.139
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,437415331040.994
Bangladesh,BGD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.77511237007889
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,2529.08012688018
Bangladesh,BGD,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Bangladesh,BGD,"Population, total",SP.POP.TOTL,172954319
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,40.473
Bangladesh,BGD,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,1.7752274274826
Bangladesh,BGD,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,9.8835030377921
Bangladesh,BGD,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,516034144115.95
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.828815088963225
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,56505.9682796867
Austria,AUT,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Austria,AUT,"Population, total",SP.POP.TOTL,9132383
Austria,AUT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,59.53
Austria,AUT,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Austria,AUT,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.81413417002832
Austria,AUT,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.264
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,24212134631.064
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.7
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,8715.76533622178
Armenia,ARM,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Armenia,ARM,"Population, total",SP.POP.TOTL,2777970
Armenia,ARM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,63.739
Armenia,ARM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,0.242599993944168
Armenia,ARM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.98041877615554
Armenia,ARM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1723827215334.71
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.01698810357014
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,64711.7656030565
Australia,AUS,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Australia,AUS,"Population, total",SP.POP.TOTL,26638544
Australia,AUS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,86.617
Australia,AUS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Australia,AUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.5970149253731
Australia,AUS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,3.668
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,72356176470.5882
Azerbaijan,AZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.12397432709641
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,7155.08360355897
Azerbaijan,AZE,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,10112555
Azerbaijan,AZE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,57.577
Azerbaijan,AZE,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.58290028572083
Azerbaijan,AZE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,8.78543049849081
Azerbaijan,AZE,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,71857382745.6066
Belarus,BLR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.88624214456901
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,7829.05313660622
Belarus,BLR,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Belarus,BLR,"Population, total",SP.POP.TOTL,9178298
Belarus,BLR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,80.731
Belarus,BLR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.9514799118042
Belarus,BLR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.0005990309131
Belarus,BLR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,3.461
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,..
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,..
American Samoa,ASM,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
American Samoa,ASM,"Population, total",SP.POP.TOTL,43914
American Samoa,ASM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,87.235
American Samoa,ASM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
American Samoa,ASM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..
American Samoa,ASM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,1236163044999.97
Africa Eastern and Southern,AFE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.62231040700607
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,1672.5059574692
Africa Eastern and Southern,AFE,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Africa Eastern and Southern,AFE,"Population, total",SP.POP.TOTL,739108306
Africa Eastern and Southern,AFE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,38.335337324572
