Country Name,GDP (current US$),GDP growth (annual %),GDP per capita (current US$),"Inflation, consumer prices (annual %)","Population, total","Unemployment, total (% of total labor force) (national estimate)",Urban population (% of total population)
Australia,1.72E+12,3.016988104,64711.7656,5.597014925,26638544,3.668,86.617
Austria,5.16E+11,-0.828815089,56505.96828,7.81413417,9132383,5.264,59.53
Belgium,6.32E+11,1.365055231,53475.2935,4.049010776,11822592,5.528,98.189
Canada,2.14E+12,1.065994453,53371.69743,3.879001598,40097761,5.415,81.862
China,1.78E+13,5.2,12614.06099,0.234836829,1410710000,..,64.57
Denmark,4.04E+11,1.889610386,67967.38187,3.305178112,5946952,5.094,88.495
Finland,3.00E+11,-1.035375693,53755.91174,6.250643222,5584264,7.151,85.773
France,3.03E+12,0.703718547,44460.81785,4.878357265,68170228,7.335,81.777
Germany,4.46E+12,-0.304934576,52745.75571,5.946436677,84482267,3.068,77.765
Ireland,5.46E+11,-3.19878596,103684.8808,6.299424874,5262382,4.288,64.466
Italy,2.25E+12,0.920692214,38373.16605,5.622194422,58761146,7.627,71.973
Japan,4.21E+12,1.923055531,33834.39211,3.268133659,124516650,2.6,92.043
Netherlands,1.12E+12,0.116008635,62536.73203,3.838393543,17879488,3.537,93.179
New Zealand,2.53E+11,0.632242362,48527.82892,5.73316283,5223100,3.729,86.985
Norway,4.86E+11,0.514118227,87961.78061,5.517849871,5519594,3.573,83.995
Russian Federation,2.02E+12,3.6,13817.0459,..,143826130,3.076,75.331
Saudi Arabia,1.07E+12,-0.754914811,28894.96335,2.327085184,36947025,4.008,84.95
Singapore,5.01E+11,1.075031751,84734.25592,4.821467295,5917648,3.444,100
South Africa,3.78E+11,0.601662303,6253.161613,6.073908532,60414495,32.098,68.819
Spain,1.58E+12,2.50329436,32676.98371,3.532361335,48373336,12.179,81.552
Sweden,5.93E+11,-0.196170995,56305.2502,8.548624897,10536632,7.611,88.738
Switzerland,8.85E+11,0.716066869,99994.93802,2.13540088,8849852,4.043,74.202
United Kingdom,3.34E+12,0.104017849,48866.60396,6.793967068,68350000,4.025,84.642
United States,2.74E+13,2.542700299,81695.18707,4.116338384,334914895,3.638,83.298
