rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,record_type,member_level,nid,location,disabled
30,3,Massachusetts Institute of Technology,97.9,30,98.6,2,96.2,11,99.7,1,100.0,16,93.8,66,private,0,471,United States,False
40,4,Harvard University,97.8,40,97.7,3,99.9,3,99.4,3,84.2,216,90.8,120,private,0,466,United States,False
50,5,University of Cambridge,97.5,50,95.8,7,100.0,1,98.0,12,87.9,180,97.4,15,master_account,0,470,United Kingdom,False
60,6,Princeton University,96.9,60,96.3,6,97.9,7,98.8,7,95.1,118,89.1,136,private,0,469,United States,False
70,7,California Institute of Technology,96.5,70,96.6,4,98.0,6,95.9,38,100.0,2,90.6,124,private,0,128779,United States,False
80,8,Imperial College London,95.1,80,90.9,12,95.5,12,98.6,8,90.9,157,98.3,6,master_account,0,472,United Kingdom,False
90,9,"University of California, Berkeley",94.6,90,87.2,18,98.8,4,99.0,4,99.4,63,86.8,172,public,0,474,United States,False
100,10,Yale University,94.2,100,94.0,10,94.9,13,97.7,18,86.5,192,82.4,217,private,0,475,United States,False
110,11,ETH Zurich,93.1,110,87.6,16,96.8,10,95.6,41,82.9,229,95.6,36,master_account,0,479,Switzerland,False
120,12,Tsinghua University,92.4,120,95.3,9,98.1,5,93.2,73,99.9,38,51.7,752,master_account,0,535,China,False
130,13,The University of Chicago,92.1,130,89.6,13,91.2,19,97.6,20,93.8,129,82.3,220,private,0,473,United States,False
140,14,Peking University,91.8,140,95.6,8,97.3,9,87.2,172,98.8,72,70.2,405,master_account,0,514,China,False
150,15,Johns Hopkins University,91.1,150,84.4,23,92.3,17,97.2,27,100.0,11,84.2,199,private,0,478,United States,False
160,16,University of Pennsylvania,91,160,87.7,15,89.7,21,97.6,23,97.7,90,78.8,269,private,0,480,United States,False
170,17,Columbia University,90.9,170,88.6,14,89.7,20,97.4,25,75.2,332,86.9,169,private,0,476,United States,False
180,18,"University of California, Los Angeles",90.1,180,85.7,19,91.9,18,96.4,34,92.3,143,74.3,342,public,0,477,United States,False
190,19,National University of Singapore,90,190,78.8,25,94.0,16,95.4,47,100.0,19,91.1,117,master_account,6,504,Singapore,False
200,20,Cornell University,89.5,200,85.7,20,88.7,22,97.6,22,69.4,447,86.0,176,private,0,484,United States,False
210,21,University of Toronto,88.6,210,77.5,28,94.1,15,92.8,81,96.1,103,90.7,123,master_account,0,483,Canada,False
220,22,UCL,88.1,220,78.4,26,86.4,24,98.6,9,75.2,335,97.9,8,master_account,0,481,United Kingdom,False
230,23,University of Michigan-Ann Arbor,87.4,230,84.7,22,87.4,23,95.5,45,80.7,255,69.0,422,public,0,482,United States,False
240,24,Carnegie Mellon University,86.3,240,75.0,32,84.6,26,98.9,6,87.3,182,85.5,185,private,0,485,United States,False
250,25,University of Washington,85.3,250,78.0,27,83.5,29,98.2,11,77.6,294,73.2,363,public,0,489,United States,False
260,26,Duke University,83.9,260,79.3,24,76.1,41,96.2,36,100.0,6,74.8,332,private,0,487,United States,False
270,27,New York University,83.5,270,73.2,36,84.0,28,94.9,49,75.4,330,80.7,246,private,0,508,United States,False
280,28,Northwestern University,83.2,280,72.3,37,78.8,34,97.8,15,99.7,50,75.9,316,private,0,490,United States,False
290,29,The University of Tokyo,83.1,290,93.9,11,94.2,14,67.8,608,100.0,27,49.7,814,master_account,0,494,Japan,False
300,30,University of Edinburgh,82.5,300,70.7,41,77.5,37,96.9,30,71.1,404,97.0,22,master_account,0,500,United Kingdom,False
310,30,Technical University of Munich,82.5,310,69.8,44,85.1,25,90.0,128,100.0,26,83.1,209,master_account,6,552,Germany,False
320,32,"Nanyang Technological University, Singapore",82.3,320,66.2,52,80.9,32,94.5,54,99.7,49,93.3,78,master_account,6,634,Singapore,False
330,33,École Polytechnique Fédérale de Lausanne,81.4,330,74.5,33,73.2,50,90.3,120,99.8,40,95.8,33,master_account,0,510,Switzerland,False
340,34,"University of California, San Diego",81,340,66.0,53,78.4,35,97.6,19,100.0,1,74.3,343,public,0,497,United States,False
350,35,University of Hong Kong,80.3,350,65.6,55,72.3,52,96.4,35,95.2,116,96.8,23,master_account,11,498,Hong Kong,False
360,36,Georgia Institute of Technology,80,360,63.4,63,78.9,33,94.1,57,94.6,123,84.8,191,public,0,488,United States,False
370,37,University of Melbourne,79.2,370,64.8,57,76.4,40,90.1,126,98.3,84,92.7,90,master_account,0,501,Australia,False
380,38,King’s College London,79,380,59.8,74,75.1,47,97.7,17,74.2,347,97.5,13,master_account,0,520,United Kingdom,False
390,38,LMU Munich,79,390,65.3,56,76.8,38,92.2,89,100.0,15,76.9,299,master_account,6,509,Germany,False
400,40,Paris Sciences et Lettres – PSL Research University Paris,78.5,400,75.7,31,72.8,51,83.2,253,99.7,51,81.6,232,master_account,0,615804,France,False
